,shap_importancia
windspeed_mean_6w,0.003040152
n_arboles,0.0029916817
anom_tmin_lag7,0.00292222
anom_tmin_lag6,0.0028139537
estrato,0.0027029577
hacinamien,0.0026195266
tmax_fore_mean_6w,0.0025698475
TP34_3_EDA,0.0024942756
area_rio_m2,0.0023638576
TP34_6_EDA,0.0021995103
tmin_fore_mean_4w,0.002159954
anom_tmax_lag6,0.0021471642
anom_tmax_lag7,0.002125609
TP34_8_EDA,0.0021101371
anom_tmin_sd_6w,0.0020922031
slope,0.002090395
TP34_2_EDA,0.002068973
anom_tmax,0.0020093736
industrial,0.0018706678
TP34_4_EDA,0.0017714743
n_pozos,0.0017280444
anom_tmin_lag4,0.0016293699
area_humedal_m2,0.0014350425
anom_tmax_lag2,0.0014050904
valle,0.0013851818
anom_tmin_lag2,0.0013189111
anom_tmax_max_4w,0.0012365881
anom_tmin_min_6w,0.0010454173
anom_tmax_lag4,0.0009662422
anom_tmin_min_4w,0.0009517488
anom_tmax_mean_6w,0.0008905279
anom_tmin_lag5,0.00077866105
anom_tmin_mean_4w,0.0007354262
TP34_5_EDA,0.00061179843
anom_tmax_min_4w,0.00059152
anom_tmin_max_4w,0.0004943133
conteo_min_4w,0.00036733583
anom_tmin_mean_6w,0.0003552506
anom_tmin_max_6w,0.00033087842
anom_tmax_max_6w,0.0001489754
tmax_mayor_26,0.0
suelo_no_urbanizable,0.0
anom_tmax_min_6w,0.0
conteo_min_6w,0.0
tmax_mayor_26_max_6w,0.0
tmax_mayor_26_min_4w,0.0
tmax_mayor_26_max_4w,0.0
tmax_mayor_26_sd_6w,0.0
tmax_mayor_26_mean_6w,0.0
tmax_mayor_26_lag7,0.0
tmax_mayor_26_lag6,0.0
tmax_mayor_26_lag5,0.0
tmax_mayor_26_lag4,0.0
tmax_mayor_26_lag3,0.0
tmax_mayor_26_lag2,0.0
tmax_mayor_26_sd_4w,0.0
tmax_mayor_26_mean_4w,0.0
tmax_mayor_26_min_6w,0.0
